ветер,1
дождь,2
гроза,3
град,4
покров,5
лавиноопасный,6
заморозок,7
ливневый,2
мокрый,5
метель,8
вода,9
ливень,2
подъем,9
порыв,1
шквалистый,1
жара,11
жаркий,11
гололедный,10
сель,13
налипание,10
снежный,5
отложение,10
гололедица,10
гололед,10
занос,10
изморозевой,10
мороз,10
гололедно,10
видимость,14
смерч,16
шквал,1
грозовой,3
похолодание,7
подтопление,9
ураган,15
лавина,6
накат,10
изморозь,10
туман,14
паводок,9
селевой,13
дождевой,2
ледяной,10
селеопасный,13
обледенение,10
пыльный,17
буря,17
вулкан,18
холод,12
ураганный,15
лавинный,6
затопление,9
тайфун,15
ветровой,1
шторм,1
снегопад,5
супертайфун,15
лавиноопасно,6
паводковый,9
паводкоопасный,9
лед,10
снег,5
